ticker,strategy,Final [EUR],Total Return [%],CAGR [%],Vol (ann.) [%],Sharpe,Sortino,Max Drawdown [%],Calmar,Worst Year [%],Best Year [%],Years,dividends,interest,short_premium_received,short_buyback_paid,short_settle_paid,commissions,spread_cost,stock_fees,ftt,n_assignments,n_short_cycles,n_leaps_rolls,n_trades,min_cash,prem,skew,spread,p_short_target_delta,sweep,p_leaps_open_min_dte,p_defend_delta,div_yield
FP.PA,PMCC,391376.0,293.6,9.28,17.2,0.33,0.47,-28.1,0.33,-16.5,37.2,15.4,0.0,108820.0,374293.0,22110.0,224859.0,22964.0,52035.0,0.0,0.0,32,198,12,237,62804.0,vix,0.0,0.01,0.2,grid,,,
FP.PA,CoveredCall,540265.0,441.7,11.57,23.1,0.38,0.5,-41.7,0.28,-24.3,40.5,15.4,230983.0,1520.0,462737.0,0.0,273839.0,23037.0,39492.0,19295.0,12327.0,31,186,0,390,9.0,vix,0.0,0.01,0.2,grid,,,
FP.PA,PMCC,464982.0,367.6,10.51,15.8,0.41,0.58,-26.5,0.4,-14.5,33.9,15.4,0.0,124335.0,552432.0,29062.0,351568.0,25972.0,59012.0,0.0,0.0,40,198,12,237,59767.0,vix,0.0,0.01,0.25,grid,,,
FP.PA,CoveredCall,577972.0,479.5,12.06,21.9,0.41,0.53,-40.9,0.29,-23.0,36.5,15.4,245598.0,1563.0,636844.0,2546.0,421887.0,24663.0,42279.0,25562.0,16628.0,40,186,0,435,11.0,vix,0.0,0.01,0.25,grid,,,
FP.PA,PMCC,699004.0,603.0,13.47,13.9,0.63,0.84,-22.9,0.59,-8.0,32.3,15.4,0.0,153948.0,1064856.0,58496.0,642825.0,30933.0,70647.0,0.0,0.0,57,198,12,237,59767.0,vix,0.0,0.01,0.35,grid,,,
FP.PA,CoveredCall,945472.0,848.0,15.69,20.2,0.58,0.71,-37.8,0.41,-16.1,44.6,15.4,320270.0,1839.0,1342502.0,2331.0,815603.0,31551.0,54087.0,49945.0,40429.0,57,186,0,499,9.0,vix,0.0,0.01,0.35,grid,,,
FP.PA,PMCC,365700.0,269.0,8.83,17.4,0.3,0.44,-28.7,0.31,-17.1,36.6,15.4,0.0,104230.0,363122.0,21407.0,219246.0,22320.0,67004.0,0.0,0.0,32,198,12,237,61237.0,vix,0.0,0.02,0.2,grid,,,
FP.PA,CoveredCall,540265.0,441.7,11.57,23.1,0.38,0.5,-41.7,0.28,-24.3,40.5,15.4,230983.0,1520.0,462737.0,0.0,273839.0,23037.0,39492.0,19295.0,12327.0,31,186,0,390,9.0,vix,0.0,0.02,0.2,grid,,,
FP.PA,PMCC,429399.0,333.3,9.97,15.9,0.38,0.54,-27.4,0.36,-15.2,32.8,15.4,0.0,117979.0,529438.0,27788.0,337712.0,24882.0,74976.0,0.0,0.0,40,198,12,237,59434.0,vix,0.0,0.02,0.25,grid,,,
FP.PA,CoveredCall,577972.0,479.5,12.06,21.9,0.41,0.53,-40.9,0.29,-23.0,36.5,15.4,245598.0,1563.0,636844.0,2546.0,421887.0,24663.0,42279.0,25562.0,16628.0,40,186,0,435,11.0,vix,0.0,0.02,0.25,grid,,,
FP.PA,PMCC,657261.0,563.2,13.04,14.0,0.6,0.79,-23.2,0.56,-8.5,32.3,15.4,0.0,147486.0,1030244.0,56518.0,625060.0,29993.0,91311.0,0.0,0.0,57,198,12,237,59434.0,vix,0.0,0.02,0.35,grid,,,
FP.PA,CoveredCall,945438.0,848.0,15.69,20.2,0.58,0.71,-37.8,0.41,-16.1,44.6,15.4,320271.0,1839.0,1342440.0,2451.0,815603.0,31554.0,54155.0,49945.0,40429.0,57,186,0,500,7.0,vix,0.0,0.02,0.35,grid,,,
FP.PA,PMCC,338531.0,242.7,8.31,17.5,0.28,0.4,-28.9,0.29,-17.4,35.5,15.4,0.0,99161.0,347139.0,20446.0,210747.0,21394.0,79913.0,0.0,0.0,32,198,12,237,60427.0,vix,0.0,0.03,0.2,grid,,,
FP.PA,CoveredCall,540265.0,441.7,11.57,23.1,0.38,0.5,-41.7,0.28,-24.3,40.5,15.4,230983.0,1520.0,462737.0,0.0,273839.0,23037.0,39492.0,19295.0,12327.0,31,186,0,390,9.0,vix,0.0,0.03,0.2,grid,,,
FP.PA,PMCC,400341.0,305.3,9.49,16.1,0.35,0.49,-27.8,0.34,-15.7,31.6,15.4,0.0,112685.0,510666.0,26804.0,326651.0,24022.0,90169.0,0.0,0.0,40,198,12,237,59102.0,vix,0.0,0.03,0.25,grid,,,
FP.PA,CoveredCall,577970.0,479.5,12.06,21.9,0.41,0.53,-40.9,0.29,-23.0,36.5,15.4,245598.0,1562.0,636842.0,2546.0,421887.0,24663.0,42281.0,25562.0,16628.0,40,186,0,435,11.0,vix,0.0,0.03,0.25,grid,,,
FP.PA,PMCC,609912.0,517.5,12.52,14.1,0.57,0.74,-23.7,0.53,-8.9,32.0,15.4,0.0,140045.0,984734.0,54014.0,600720.0,28772.0,110916.0,0.0,0.0,57,198,12,237,59102.0,vix,0.0,0.03,0.35,grid,,,
FP.PA,CoveredCall,941412.0,843.9,15.66,20.2,0.58,0.71,-37.8,0.41,-16.1,44.5,15.4,319396.0,1864.0,1335937.0,418.0,813727.0,31404.0,56295.0,49790.0,40239.0,57,186,0,492,11.0,vix,0.0,0.03,0.35,grid,,,
FP.PA,PMCC,274531.0,176.2,6.8,17.4,0.2,0.28,-33.0,0.21,-19.9,35.0,15.4,0.0,83626.0,269516.0,14570.0,204019.0,18548.0,42483.0,0.0,0.0,36,198,12,237,54494.0,vix,0.1,0.01,0.2,grid,,,
FP.PA,CoveredCall,387280.0,288.3,9.19,22.6,0.29,0.38,-43.0,0.21,-25.3,38.1,15.4,185400.0,1328.0,331555.0,1187.0,260069.0,18790.0,32211.0,17803.0,10237.0,36,186,0,359,14.0,vix,0.1,0.01,0.2,grid,,,
FP.PA,PMCC,330425.0,232.4,8.09,16.2,0.27,0.38,-30.7,0.26,-17.8,29.7,15.4,0.0,98118.0,432518.0,24756.0,327061.0,21560.0,49509.0,0.0,0.0,42,198,12,237,56097.0,vix,0.1,0.01,0.25,grid,,,
FP.PA,CoveredCall,462510.0,363.8,10.45,21.5,0.35,0.44,-41.8,0.25,-24.5,34.4,15.4,216731.0,1474.0,533016.0,139.0,419976.0,21707.0,37212.0,23435.0,13768.0,42,186,0,416,8.0,vix,0.1,0.01,0.25,grid,,,
FP.PA,PMCC,524359.0,427.5,11.38,14.2,0.49,0.64,-26.9,0.42,-10.4,30.1,15.4,0.0,124235.0,847816.0,45215.0,564997.0,26129.0,60303.0,0.0,0.0,58,198,12,237,56097.0,vix,0.1,0.01,0.35,grid,,,
FP.PA,CoveredCall,724397.0,626.3,13.71,19.8,0.5,0.61,-38.9,0.35,-17.2,42.7,15.4,267295.0,1739.0,1062928.0,0.0,716052.0,26439.0,45324.0,41720.0,31491.0,58,186,0,469,11.0,vix,0.1,0.01,0.35,grid,,,
FP.PA,PMCC,256440.0,158.9,6.36,17.6,0.18,0.25,-33.1,0.19,-20.1,34.2,15.4,0.0,80201.0,260656.0,14062.0,198826.0,17986.0,54869.0,0.0,0.0,36,198,12,237,54128.0,vix,0.1,0.02,0.2,grid,,,
FP.PA,CoveredCall,387280.0,288.3,9.19,22.6,0.29,0.38,-43.0,0.21,-25.3,38.1,15.4,185400.0,1328.0,331555.0,1187.0,260069.0,18790.0,32211.0,17803.0,10237.0,36,186,0,359,14.0,vix,0.1,0.02,0.2,grid,,,
FP.PA,PMCC,308918.0,211.9,7.65,16.3,0.25,0.34,-30.9,0.25,-18.1,28.8,15.4,0.0,93953.0,419971.0,24149.0,318921.0,20965.0,64247.0,0.0,0.0,42,198,12,237,55730.0,vix,0.1,0.02,0.25,grid,,,
FP.PA,CoveredCall,462510.0,363.8,10.45,21.5,0.35,0.44,-41.8,0.25,-24.5,34.4,15.4,216731.0,1474.0,533016.0,139.0,419976.0,21707.0,37212.0,23435.0,13768.0,42,186,0,416,8.0,vix,0.1,0.02,0.25,grid,,,
FP.PA,PMCC,484231.0,388.9,10.83,14.3,0.46,0.59,-27.2,0.4,-10.8,29.8,15.4,0.0,117945.0,807072.0,42988.0,540367.0,24939.0,77087.0,0.0,0.0,58,198,12,237,55730.0,vix,0.1,0.02,0.35,grid,,,
FP.PA,CoveredCall,724391.0,626.3,13.71,19.8,0.5,0.61,-38.9,0.35,-17.2,42.7,15.4,267256.0,1734.0,1062667.0,0.0,716052.0,26432.0,45355.0,41720.0,31491.0,58,186,0,468,5.0,vix,0.1,0.02,0.35,grid,,,
FP.PA,PMCC,234310.0,137.5,5.76,17.8,0.15,0.21,-34.1,0.17,-20.9,33.1,15.4,0.0,75578.0,249695.0,13438.0,191713.0,17258.0,65734.0,0.0,0.0,36,198,12,237,53761.0,vix,0.1,0.03,0.2,grid,,,
FP.PA,CoveredCall,387280.0,288.3,9.19,22.6,0.29,0.38,-43.0,0.21,-25.3,38.1,15.4,185400.0,1328.0,331555.0,1187.0,260069.0,18790.0,32211.0,17803.0,10237.0,36,186,0,359,14.0,vix,0.1,0.03,0.2,grid,,,
FP.PA,PMCC,284901.0,188.7,7.11,16.4,0.22,0.3,-31.1,0.23,-18.4,27.7,15.4,0.0,89247.0,401345.0,23164.0,305496.0,20039.0,76763.0,0.0,0.0,42,198,12,237,55364.0,vix,0.1,0.03,0.25,grid,,,
FP.PA,CoveredCall,462520.0,363.8,10.45,21.5,0.35,0.44,-41.8,0.25,-24.5,34.4,15.4,216732.0,1478.0,533008.0,88.0,419976.0,21700.0,37207.0,23435.0,13768.0,42,186,0,415,8.0,vix,0.1,0.03,0.25,grid,,,
FP.PA,PMCC,447909.0,353.9,10.3,14.5,0.42,0.54,-28.1,0.37,-11.6,29.2,15.4,0.0,111818.0,774718.0,41179.0,521007.0,24015.0,93970.0,0.0,0.0,58,198,12,237,55364.0,vix,0.1,0.03,0.35,grid,,,
