,hold_limit,buffer,pre_cutoff,Sharpe
65,25,2,15,1.3940472517698828
32,25,0,15,1.350712672512899
104,15,6,5,1.2936653322869587
38,15,2,5,1.2926893001131674
156,9,8,15,1.29210123179137
71,15,4,5,1.2812148198668976
64,23,2,15,1.2721427660766949
157,11,8,15,1.2710574554083844
54,25,2,10,1.268940289757576
53,23,2,10,1.268940289757576
52,21,2,10,1.268940289757576
108,23,6,5,1.2687289189357775
105,17,6,5,1.2687289189357775
106,19,6,5,1.2687289189357775
109,25,6,5,1.2687289189357775
107,21,6,5,1.2687289189357775
40,19,2,5,1.2641145175927968
39,17,2,5,1.2641145175927968
41,21,2,5,1.2641145175927968
42,23,2,5,1.2641145175927968
43,25,2,5,1.2641145175927968
98,25,4,15,1.2582539692819863
19,21,0,10,1.2561245407215686
20,23,0,10,1.2561245407215686
21,25,0,10,1.2561245407215686
75,23,4,5,1.2497661679658618
72,17,4,5,1.2497661679658618
74,21,4,5,1.2497661679658618
76,25,4,5,1.2497661679658618
73,19,4,5,1.2497661679658618
164,25,8,15,1.247782501300836
31,23,0,15,1.2421436265038919
131,25,6,15,1.232220424793951
86,23,4,10,1.2251745412696138
85,21,4,10,1.2251745412696138
87,25,4,10,1.2251745412696138
141,23,8,5,1.2196919431803919
142,25,8,5,1.2196919431803919
140,21,8,5,1.2196919431803919
138,17,8,5,1.2196919431803919
139,19,8,5,1.2196919431803919
5,15,0,5,1.2195395772210549
118,21,6,10,1.2185735643157722
120,25,6,10,1.2185735643157722
119,23,6,10,1.2185735643157722
147,13,8,10,1.2121770215167946
152,23,8,10,1.211755879171112
151,21,8,10,1.211755879171112
153,25,8,10,1.211755879171112
6,17,0,5,1.2086491501175631
8,21,0,5,1.2086491501175631
7,19,0,5,1.2086491501175631
9,23,0,5,1.2086491501175631
10,25,0,5,1.2086491501175631
159,15,8,15,1.2058183598527608
137,15,8,5,1.200867287817874
146,11,8,10,1.2002124364080786
161,19,8,15,1.1997009653905484
128,19,6,15,1.1981262274674898
145,9,8,10,1.1951859433911367
163,23,8,15,1.1951841071371583
126,15,6,15,1.1943949999694166
160,17,8,15,1.1914870974260032
130,23,6,15,1.1877284962381693
158,13,8,15,1.1871809812537095
155,7,8,15,1.1767059359850713
117,19,6,10,1.174356982474911
127,17,6,15,1.172125545254654
18,19,0,10,1.170241632932744
63,21,2,15,1.1665262599675803
51,19,2,10,1.1656446512568788
97,23,4,15,1.1614796781706975
150,19,8,10,1.1606757958337015
84,19,4,10,1.1545197431096237
149,17,8,10,1.1543016951415532
148,15,8,10,1.151646472658284
103,13,6,5,1.14390174968419
37,13,2,5,1.134922100669439
116,17,6,10,1.1338012318560649
115,15,6,10,1.1275439097654842
136,13,8,5,1.127163896939984
124,11,6,15,1.1228855247437912
122,7,6,15,1.1215988447460277
162,21,8,15,1.1171669870699916
