,book best cell,coin's own best cell,own cell
BTC,0.9504086377518692,0.9908051508109378,"21/42/84/168, band 0.5"
DOGE,0.8440380677522132,0.9952309160244427,"5/10/21/42, band 0.5"
ADA,0.7838612379073996,0.7838612379073996,"5/10/21/42, band 1"
BNB,0.7213005512947147,0.9361852475615141,"10/21/42/84, band 1"
ETC,0.6574929531623046,0.6574929531623046,"5/10/21/42, band 1"
LINK,0.458488395161475,0.5745871834852748,"3/5/10/21, band 1"
ETH,0.4361305483276717,0.7166311068770816,"10/21/42/84, band 0.25"
LTC,0.43049652459518356,0.43049652459518356,"5/10/21/42, band 1"
XRP,0.4142621397226766,0.6827405701373535,"3/5/10/21, band 0.5"
DOT,0.1578745103619852,0.6080005308795964,"10/21/42/84, band 1"
BCH,0.1511562170799888,0.17605147483959616,"3/5/10/21, band 0.5"
XMR,0.0423995604478851,0.2001947437623708,"3/5/10/21, band 1"
