entry,exit_,z_window,Sharpe
1.0,0.0,20,0.4383468109384865
1.0,0.0,30,0.33635428081720253
1.0,0.0,60,0.3114858550261315
1.0,0.0,90,0.31749813890400314
1.0,0.0,120,0.2975170907024056
1.0,0.5,20,0.32146828589379556
1.0,0.5,30,0.30919342935081306
1.0,0.5,60,0.2517107451065243
1.0,0.5,90,0.2712947488724325
1.0,0.5,120,0.3408936230283796
1.5,0.0,20,0.42221909147627695
1.5,0.0,30,0.42739068110880274
1.5,0.0,60,0.3669119752100344
1.5,0.0,90,0.27661082392619185
1.5,0.0,120,0.2620660461335842
1.5,0.5,20,0.35497095323175454
1.5,0.5,30,0.48191932772944357
1.5,0.5,60,0.2893862125933606
1.5,0.5,90,0.32808141251054823
1.5,0.5,120,0.2753064523070361
2.0,0.0,20,0.4591594983266714
2.0,0.0,30,0.4203870386846754
2.0,0.0,60,0.34986891207232285
2.0,0.0,90,0.2622876113459114
2.0,0.0,120,0.25680277956271635
2.0,0.5,20,0.5087324935171593
2.0,0.5,30,0.45478389447443
2.0,0.5,60,0.3503352320536171
2.0,0.5,90,0.35337530680618096
2.0,0.5,120,0.35343489151658747
2.5,0.0,20,0.5176243499666994
2.5,0.0,30,0.37513533998931525
2.5,0.0,60,0.24607113288514534
2.5,0.0,90,0.31027623338686944
2.5,0.0,120,0.2124762175679956
2.5,0.5,20,0.49694196811810815
2.5,0.5,30,0.40528706625886846
2.5,0.5,60,0.27470462592766115
2.5,0.5,90,0.37291733320174436
2.5,0.5,120,0.36008408530712954
3.0,0.0,20,0.28924203873688875
3.0,0.0,30,0.32305890802559345
3.0,0.0,60,0.033322311491524405
3.0,0.0,90,0.226033417258775
3.0,0.0,120,0.15388059852476804
3.0,0.5,20,0.27563693506120074
3.0,0.5,30,0.3529552050323784
3.0,0.5,60,0.10901781347702616
3.0,0.5,90,0.2900298824039501
3.0,0.5,120,0.2568431195084775
