pair,class,Sharpe,Return [%],CAGR [%],Max DD [%],# Trades,Win Rate [%],Exposure [%],NW t-stat
XOM/CVX,stocks,0.4188029530412067,2.7369487893115876,0.4677857337745728,-1.4324086672620862,1,100.0,1.9860973187686197,0.8941203350501922
WTI/BRENT,commodities,0.35081011795130657,105.2517887202421,1.4008229041861053,-8.084580073238657,79,65.82278481012658,10.127438818089546,3.193517251875384
KO/PEP,stocks,0.2733686526621109,1.12690464711556,0.1938720512097314,-1.3835161403933594,1,100.0,2.9791459781529297,0.6803968235757438
CAD/WTI,cross,0.21138054760305416,10.329865383804572,0.19055037943274122,-4.902519598348887,19,68.42105263157895,2.8864584507836284,1.6446228938859242
NATGAS/WTI,commodities,0.20964825048346017,45.372701940187255,0.9056824784704931,-15.007936125039745,4,75.0,0.8239072755201788,1.1916563321863585
EUR/GBP,forex,0.13046182277975402,1.4667279074947293,0.03773393456327767,-2.2328186322706056,7,42.857142857142854,2.380952380952381,0.6566452093811964
GOOGL/GOOG,stocks,0.10847713020624435,0.0750290232157422,0.018036191602011087,-0.24846516146166397,2,50.0,5.670816044260028,0.33366119501713504
SEK/NOK,forex,-0.13690226630983734,-3.450162393149949,-0.090930630624253,-7.051514783315149,5,20.0,2.18628331835879,-0.7366992668109349
AUD/NZD,forex,-0.16887685351059842,-1.8182685823574427,-0.04753348271765434,-2.0786884068426104,7,28.57142857142857,2.0215633423180592,-0.8956454650156609
BTC/PAXG,cross,-0.2738870496092256,-2.970432980022073,-0.5388654331795029,-4.357760201992244,2,0.0,1.5701668302257115,-0.6735718891089443
HD/LOW,stocks,-0.4763178367845618,-2.756430816844804,-0.48194435092727694,-2.9822246528402596,1,0.0,0.29791459781529295,-0.9929661969011269
LTC/ETH,crypto,-0.5168636667482708,-32.39191066639026,-3.9524136793991804,-32.39191066639027,1,0.0,0.2257336343115124,-1.056225402278953
BTC/ETH,crypto,-0.5297974906752332,-11.678572237022818,-1.2712302060634006,-13.469888433204325,3,0.0,3.216704288939052,-1.5886775955273904
JPM/BAC,stocks,-0.5556324110291367,-5.162557045665817,-0.9119672526193279,-5.43158206994907,3,33.33333333333333,11.221449851042701,-1.2614058901628176
V/MA,stocks,,0.0,0.0,-0.0,0,,0.0,
