config,strategy,short_delta,leaps_dte,CAGR [%],Vol (ann.) [%],Sharpe,Max Drawdown [%],Worst Year [%]
PMCC δ=0.35 / LEAPS ≥720d,PMCC,0.35,720.0,14.62,11.4,0.83,-17.0,-6.1
PMCC δ=0.35 / LEAPS ≥540d,PMCC,0.35,540.0,14.97,12.6,0.79,-18.6,-13.4
PMCC δ=0.30 / LEAPS ≥720d,PMCC,0.3,720.0,13.67,12.4,0.71,-18.2,-7.8
PMCC δ=0.30 / LEAPS ≥540d,PMCC,0.3,540.0,13.93,13.6,0.67,-20.6,-14.6
PMCC δ=0.35 / LEAPS ≥360d,PMCC,0.35,360.0,12.8,12.8,0.63,-22.4,-13.8
CoveredCall,CoveredCall,,,16.45,19.8,0.62,-41.2,-27.1
PMCC δ=0.25 / LEAPS ≥720d,PMCC,0.25,720.0,12.81,13.3,0.61,-19.2,-8.3
PMCC δ=0.25 / LEAPS ≥540d,PMCC,0.25,540.0,12.88,14.5,0.58,-23.0,-15.9
PMCC δ=0.30 / LEAPS ≥360d,PMCC,0.3,360.0,11.62,13.9,0.52,-23.8,-15.0
PMCC δ=0.20 / LEAPS ≥720d,PMCC,0.2,720.0,11.71,14.1,0.52,-20.4,-10.1
PMCC δ=0.20 / LEAPS ≥540d,PMCC,0.2,540.0,11.59,15.5,0.48,-26.5,-17.9
PMCC δ=0.25 / LEAPS ≥360d,PMCC,0.25,360.0,10.73,14.8,0.44,-25.3,-15.2
BuyHold,BuyHold,,,11.06,24.2,0.36,-49.8,-32.8
PMCC δ=0.20 / LEAPS ≥360d,PMCC,0.2,360.0,9.35,15.7,0.35,-28.4,-17.2
