ticker,strategy,Final [EUR],Total Return [%],CAGR [%],Vol (ann.) [%],Sharpe,Sortino,Max Drawdown [%],Calmar,Worst Year [%],Best Year [%],Years,dividends,interest,short_premium_received,short_buyback_paid,short_settle_paid,commissions,spread_cost,stock_fees,ftt,n_assignments,n_short_cycles,n_leaps_rolls,n_trades,min_cash
AI.PA,PMCC,1009354.0,918.2,16.23,16.4,0.7,1.0,-22.3,0.73,-14.7,39.3,15.4,0.0,205085.0,865542.0,62814.0,398626.0,26521.0,108748.0,0.0,0.0,40,198,12,237,69875.0
AI.PA,PMCC_budget,7691449.0,7760.8,32.68,39.0,0.78,1.14,-53.9,0.61,-38.4,104.2,15.4,0.0,373584.0,11688634.0,906430.0,6217098.0,297043.0,1439998.0,0.0,0.0,40,198,12,237,24701.0
AI.PA,CoveredCall,1730893.0,1636.0,20.31,20.5,0.76,0.99,-32.1,0.63,-19.1,47.9,15.4,269880.0,2572.0,1277847.0,8399.0,635464.0,31232.0,54040.0,69178.0,67116.0,40,186,0,416,12.0
AI.PA,BuyHold,655603.0,556.3,12.96,25.1,0.42,0.61,-38.6,0.34,-26.2,32.8,15.4,128783.0,20.0,0.0,0.0,0.0,0.0,0.0,885.0,156.0,0,0,0,1976,0.0
AI.PA,LeapsOnly,360811.0,263.2,8.72,22.0,0.28,0.44,-32.6,0.27,-24.5,28.0,15.4,0.0,97898.0,0.0,0.0,0.0,1673.0,33724.0,0.0,0.0,0,0,12,26,63507.0
AIR.PA,PMCC,607814.0,515.2,14.11,22.2,0.49,0.68,-48.7,0.29,-22.2,67.9,13.8,0.0,107928.0,743763.0,39039.0,573840.0,39417.0,117786.0,0.0,0.0,38,173,11,208,34514.0
AIR.PA,PMCC_budget,483118.0,394.7,12.32,46.1,0.38,0.53,-88.7,0.14,-64.4,116.5,13.8,0.0,37728.0,1057970.0,49049.0,739211.0,55498.0,166440.0,0.0,0.0,38,173,12,209,1528.0
AIR.PA,CoveredCall,1119263.0,1023.9,19.21,30.5,0.57,0.7,-60.7,0.32,-34.0,102.5,13.8,72042.0,1111.0,991815.0,1583.0,836835.0,40700.0,69771.0,38949.0,37013.0,38,166,0,387,6.0
AIR.PA,BuyHold,506891.0,407.4,12.52,37.6,0.37,0.54,-74.8,0.17,-43.9,98.4,13.8,35510.0,8.0,0.0,0.0,0.0,0.0,0.0,643.0,50.0,0,0,0,1330,0.0
AIR.PA,LeapsOnly,310711.0,213.5,8.65,30.6,0.27,0.46,-64.2,0.13,-32.4,78.9,13.8,0.0,58496.0,0.0,0.0,0.0,2702.0,32493.0,0.0,0.0,0,0,11,24,37583.0
BN.PA,PMCC,451048.0,355.1,10.32,14.8,0.42,0.59,-21.9,0.47,-11.8,26.5,15.4,0.0,118902.0,431829.0,32373.0,236783.0,21268.0,68877.0,0.0,0.0,40,196,12,234,65773.0
BN.PA,PMCC_budget,1197628.0,1121.6,17.61,37.8,0.49,0.7,-56.0,0.31,-34.3,54.4,15.4,0.0,90021.0,2289577.0,168098.0,1317377.0,106773.0,358947.0,0.0,0.0,40,196,12,234,25323.0
BN.PA,CoveredCall,667706.0,569.4,13.11,19.0,0.49,0.62,-35.4,0.37,-17.0,29.6,15.4,157107.0,1698.0,551002.0,2021.0,327972.0,22143.0,37959.0,29266.0,18971.0,41,186,0,378,10.0
BN.PA,BuyHold,346825.0,247.2,8.4,23.7,0.26,0.38,-46.0,0.18,-28.2,37.8,15.4,97018.0,15.0,0.0,0.0,0.0,0.0,0.0,544.0,96.0,0,0,0,2009,0.0
BN.PA,LeapsOnly,215340.0,116.9,5.15,20.0,0.12,0.2,-37.7,0.14,-24.6,34.4,15.4,0.0,69824.0,0.0,0.0,0.0,1494.0,22124.0,0.0,0.0,0,0,12,26,53904.0
BNP.PA,PMCC,551767.0,455.8,11.75,22.2,0.4,0.58,-36.9,0.32,-16.9,63.4,15.4,0.0,118690.0,760904.0,44872.0,342885.0,21380.0,85616.0,0.0,0.0,28,197,12,236,60064.0
