Date,PMCC,PMCC_budget,CoveredCall,BuyHold,LeapsOnly
2000-07-25,100000.0,100000.0,100000.0,100000.0,100000.0
2000-07-26,100596.54212335998,101215.823310533,100764.7255658443,100985.13131611861,100796.69030273179
2000-07-27,100671.31631132915,101358.37333117117,100859.86106163902,100985.13404703754,100775.86558779865
2000-07-28,100935.16709641826,101909.31332629888,101165.76386577176,101484.54884755495,101248.73400802106
2000-07-31,101760.80122034303,103733.75871630329,102133.80922988882,102784.76902073332,102350.0140810794
2000-08-01,101839.28188450962,103896.6378366224,102187.59050636155,102780.95735745414,102369.25420501792
2000-08-02,102382.06406909882,105090.0856213139,102836.54755575811,103608.45932254192,103070.2036407791
2000-08-03,101893.65485810784,103942.89649673774,102069.70432945812,102359.68748825337,102140.531443243
2000-08-04,102411.5978748836,105084.50233904443,102764.35555885875,103291.89240949124,102907.07452898762
2000-08-07,103081.92168099654,106477.90306695679,103554.59201224541,104264.31267285123,103719.88860075221
2000-08-08,103494.9032661347,107398.1234187115,104104.51300622582,104966.90016232266,104267.34452734656
2000-08-09,103601.97506531278,107613.59998852544,104247.08662381205,104966.89562004713,104231.19323905354
2000-08-10,103345.22490990767,106949.91642023888,103780.10682430169,104036.40349983422,103539.74851597927
2000-08-11,103417.85910580603,107151.06225425945,103929.09275868496,104247.63656777212,103697.373471725
2000-08-14,103786.58591122729,107982.53619636658,104404.16652268622,104454.45046742205,103793.05580197737
2000-08-15,103926.95809223977,108229.45542578243,104660.7269539624,104890.91127188825,104136.01973347002
2000-08-16,104517.89663850615,109546.155025964,105430.54758715942,105721.21915882711,104750.6368650952
2000-08-17,103892.89840370294,108180.3469755861,104779.08797159375,105117.36189127788,104202.93429870879
2000-08-18,103330.02508941303,106897.60717009344,104054.80339492905,105123.88590855821,104364.81043697214
2000-08-21,103504.55458828347,107155.24377806987,104275.31213320578,105122.55596312994,104337.73538458747
2000-08-22,103959.34693974884,107955.73448090226,104872.01912195944,106245.90701202978,105316.68110845602
2000-08-23,104419.20419288652,108897.3099252453,105465.852617567,107237.65577640831,106168.16119985213
2000-08-24,103738.08759514418,107458.84525431466,104508.59590138884,105690.782456304,104907.3413747653
2000-08-25,104690.14695756882,109495.47157469018,105767.1728533353,107760.2350130583,106668.39061714707
2000-08-28,104739.68073376425,109497.78353764745,105802.62737500384,107454.40384808986,106383.61657275252
2000-08-29,104898.36509710409,109803.09314509915,105930.22063680188,107540.56424630061,106480.87189636503
2000-08-30,104518.61306959677,108877.99159015114,105300.16422344084,106666.54097044161,105871.29438478245
2000-08-31,103540.31494715548,106792.42633570805,103923.75463739921,105032.9458215703,104667.7152582966
2000-09-01,104559.93813188524,108980.9323095037,105129.53619173833,106909.3286686002,106343.30856904281
2000-09-04,104937.7252017894,109679.39578712957,105580.57449554517,107288.67817483054,106626.51057274341
2000-09-05,105548.34334501038,111066.86348429395,106122.79637718263,108091.29197457357,107469.25626248318
2000-09-06,105707.2991395805,111325.89424910628,105888.40013829757,107442.9320060376,107200.07310782849
2000-09-07,106041.32201236674,112050.22749220488,105995.34117875724,107296.02098352136,107267.76040079839
2000-09-08,105050.05549988028,109766.4160332386,104281.29343424218,104808.90581822439,105508.02509506058
2000-09-11,105594.111404904,110905.51493569718,104649.01821412884,104879.38949347509,105728.37594741822
2000-09-12,106297.4042080113,112470.35710533781,105388.19459975061,105605.64416742254,106411.45639569225
2000-09-13,106245.77322333524,112306.61309419494,105095.68008903631,104960.86036104748,106017.90888076671
2000-09-14,106567.58322324108,112878.39352542537,105312.1374948237,105436.35318262661,106613.0262528763
2000-09-15,106431.60804312486,112437.50706191224,104872.16692444963,105462.16646514443,106892.21500339452
2000-09-18,106336.19493056739,112138.24883404006,104483.95406723101,104779.53971520042,106506.08072235073
2000-09-19,106495.21219738132,112538.21875980766,104493.28434787452,105060.28698778052,106919.54442777383
2000-09-20,105649.13813570997,110720.9764618211,103092.38818887714,103242.27832434347,105656.05148244352
2000-09-21,104533.01557666283,108225.29138098867,101176.10999718611,100879.8782387704,104115.9574980305
2000-09-22,105351.54368681037,109921.82269086129,102043.81901209528,102248.077355308,105460.54131037617
