y,x,corr,eg_pvalue,eg_tstat,beta,half_life,hurst,n_obs
AUD,CAD,0.6463454638567117,0.03385234040422001,-3.483869737868601,1.22467175198303,135.58636398620456,0.4454110872967735,6931
EUR,DKK,0.9805874958007323,0.03603561817758039,-3.460764941229151,1.001136862154373,2.8512453557606374,0.09714862502849242,6931
SEK,NOK,0.801171933677893,0.03612988358309037,-3.459794257466504,0.7347751259927294,191.36868038530244,0.47837627612014955,6931
CAD,SEK,0.5177789769627145,0.050199599914610836,-3.33422272578304,0.6943670110188975,253.29648010864867,0.43333806501034244,6931
EUR,AUD,0.5521032738214443,0.08292218811604096,-3.127446282051835,0.6274146898043965,222.14710157986536,0.4565613975040008,6931
NZD,EUR,0.549135481099078,0.09810704961675909,-3.0531434446409302,1.1018522781834372,284.957534378048,0.45206571945704893,6931
DKK,AUD,0.5389200555315535,0.1016184755199252,-3.037231947726022,0.6268323029952204,211.28443322224447,0.4541534217407909,6931
NZD,DKK,0.5393908615208477,0.1792065272378746,-2.7586198297351356,1.1031099763050034,277.0591413158255,0.45085928242920364,6931
NZD,AUD,0.8302721249863253,0.233435866143974,-2.6084577673379647,0.9144825884342396,348.27445511785305,0.4839965750997972,6931
AUD,SEK,0.6069355769568002,0.2509633094355761,-2.565515622274505,0.8951722856832414,313.83587848863687,0.4254616911161931,6931
NZD,CAD,0.578054345530716,0.2597139883381665,-2.544711069162288,1.077051051983991,310.59723184722236,0.4748406976527606,6931
CAD,NOK,0.549855757548857,0.3266387515819669,-2.3962381534423876,0.5098064525894774,381.39415896844366,0.4348277496592153,6931
SEK,GBP,0.6044145762415517,0.38878867274130735,-2.2696543393447266,0.9077420793531613,415.18760904500385,0.43775656498701776,6931
NZD,SEK,0.583303796769391,0.4094483549473313,-2.229028810157357,0.7460649433417776,473.1124033829222,0.4434804449022665,6931
GBP,NOK,0.6010077944586902,0.44313105884771636,-2.1637439729407677,0.5453427134070512,399.16664306626274,0.4591545352846199,6931
NZD,NOK,0.5874377401225501,0.5296909568511375,-1.9978587569834174,0.4674333320429295,629.5661737518474,0.46975721752515803,6931
AUD,NOK,0.6154502425130658,0.5348792188083491,-1.9878665019682342,0.6156152456864036,509.2341714551964,0.45075970064589493,6931
GBP,CHF,0.5122145748624686,0.5360577567544617,-1.9855943531892806,-0.25055635081051947,518.5661425477497,0.489428458329179,6931
GBP,SGD,0.5192861883715789,0.5767459801665535,-1.9064223222447032,-0.39591287046424334,574.1140554815422,0.4949916738314648,6931
DKK,NOK,0.7382683479529893,0.6091512718200635,-1.8419088391667187,0.4727270226882047,639.0618405997913,0.4894044861380884,6931
NZD,GBP,0.5366083254786459,0.6167798349626238,-1.8264658918938121,0.3145759242796969,716.1520784094992,0.48151528079846523,6931
EUR,NOK,0.7475046007647037,0.6377068804535098,-1.78348899946681,0.4716862297897566,694.5715360268391,0.49236579004847064,6931
AUD,GBP,0.5429518105576848,0.6436097753139032,-1.771185525680555,0.4825035445912328,744.2075653691268,0.48743615404420804,6931
EUR,SGD,0.5986317110211383,0.6691067928150658,-1.7169706216916238,0.5288532442322826,732.6027159637292,0.4988913450478692,6931
DKK,SEK,0.8055012911629985,0.670627752161795,-1.713676057102326,0.6732910615145231,598.5974329796912,0.4500970491103787,6931
EUR,SEK,0.8158501322364204,0.6731437846358341,-1.7082097893163994,0.6727622398978425,667.269014961527,0.45461213920795934,6931
DKK,SGD,0.5853336835822365,0.6746237146446956,-1.7049849100972252,0.5241817382711149,702.6272850343789,0.49661714569185367,6931
EUR,GBP,0.646679926097645,0.6797621762115111,-1.6937310187618442,0.5078508224760625,822.9701190576327,0.48910430210918415,6931
DKK,GBP,0.6336293513339625,0.6834000630928525,-1.6857086718504881,0.5089099921122395,772.2861639480723,0.4866276801433303,6931
SEK,CHF,0.631248674341323,0.7246612034084865,-1.5910299684390645,0.06518233220148652,803.1124572803071,0.4959638748492803,6931
NZD,SGD,0.5989923944807414,0.7294046961822045,-1.5796443745460726,1.0541763049084747,615.8462514192548,0.47897575369374773,6931
EUR,CHF,0.7872083424246124,0.7315756901340322,-1.5743939434851753,0.2851039758580967,937.3304808424822,0.511715746516501,6931
DKK,CHF,0.7755655704191606,0.7365338296776989,-1.5623066409691655,0.282656404924325,891.7662385032595,0.5093292519593812,6931
AUD,SGD,0.6233331901056601,0.7633962523772478,-1.494234500300548,0.9746112721805322,723.1511258815887,0.48411951399175346,6931
SEK,SGD,0.5968910210665171,0.770078888611019,-1.4765365884998285,0.26481383590021984,840.2479457105179,0.49133943523529694,6931
NOK,CHF,0.5898802582842226,0.773982323758744,-1.4660408568916188,-0.0912541996871983,1040.1839499402886,0.4846102381351398,6931
NOK,SGD,0.5936141433066278,0.8250331745551311,-1.3154234127107043,0.05486325172393216,1234.892604426776,0.4828167416155124,6931
CAD,SGD,0.5152079812378664,0.9069725507264351,-0.9778264549828694,0.6390018205739582,1015.6492696055474,0.45936872391764133,6931
